Nombre,prueba,tipo,Hora de inserción,Tamaño Total copiado,Total de ficheros copiados,Ficheros borrados,Pago,Cobró,Comentario
,Miércoles 25 de Enero,,,,,,,,
,   52  Dispositivos,,,,,,,,
,   474.1 GB,,,,,,,,
,   1015 ficheros,,,,,,,,
,   $3018,,,,,,,,
Nombre de Dispositivo,,Tipo,Hora de inserción,Tamaño Total copiado,Total de ficheros copiados,Ficheros borrados,Pago,Cobró,Comentario
,037 - Entre Sombras (Colombia).mpg,277MB,06:32:59 ,M:\037 - Entre Sombras (Colombia).mpg,,,,,
(I:),,Memoria 32 GB,18:23,1009 MB,1 fichero,0 ficheros,$7,,""""""
,Nombre de Fichero,Tamaño,Hora de copia,Ruta donde se copió,,,,,
,Piratas Del Caribe 2 (El Cofre De La Muerte) [2006] 1080p [60 FPS].mpg,1009MB,06:26:43 ,I:\Piratas Del Caribe 2 (El Cofre De La Muerte) [2006] 1080p [60 FPS].mpg,,,,,
ALE (N:),,Memoria 64 GB,18:12,6.2 GB,15 ficheros,112 ficheros,$58,,""""""
,Nombre de Fichero,Tamaño,Hora de copia,Ruta donde se copió,,,,,
,Overdose (2022).mp4,970MB,06:17:39 ,N:\!!! SV\Overdose (2022)\Overdose (2022).mp4,,,,,
,6x01 - ! La Isla De Las Tentaciones - 6x01 {23-01-2023}.mp4,921MB,06:18:20 ,N:\!!! SV\6x01 - ! La Isla De Las Tentaciones - 6x01 {23-01-2023}.mp4,,,,,
,Pesca Mortal 2 {24-01-2023}.mpg,480MB,06:22:09 ,N:\!!! SV\Pesca Mortal 2 {24-01-2023}.mpg,,,,,
,Pesca Mortal 1 {24-01-2023}.mpg,479MB,06:21:49 ,N:\!!! SV\Pesca Mortal 1 {24-01-2023}.mpg,,,,,
,Guardianes de Texas {17-01-2023}.mpg,468MB,06:23:15 ,N:\!!! SV\Guardianes de Texas {17-01-2023}.mpg,,,,,
,De la chatarra a la pista 1 {19-01-2023}.mpg,463MB,06:23:02 ,N:\!!! SV\De la chatarra a la pista 1 {19-01-2023}.mpg,,,,,
,Traficantes {24-01-2023}.mpg,444MB,06:22:29 ,N:\!!! SV\Traficantes {24-01-2023}.mpg,,,,,
,Lo mejor de Alerta Aeropuerto {17-01-2023}.mpg,435MB,06:23:48 ,N:\!!! SV\Lo mejor de Alerta Aeropuerto {17-01-2023}.mpg,,,,,
,Pesca Mortal 1 {23-01-2023}.mpg,404MB,06:19:49 ,N:\!!! SV\Pesca Mortal 1 {23-01-2023}.mpg,,,,,
,Pesca Mortal {23-01-2023}.mpg,396MB,06:19:20 ,N:\!!! SV\Pesca Mortal {23-01-2023}.mpg,,,,,
,Hoteles extremos {17-01-2023}.mpg,374MB,06:23:38 ,N:\!!! SV\Hoteles extremos {17-01-2023}.mpg,,,,,
,El Señor de los cielos 8 Capt-5 {23-01-2023}.mp4,226MB,06:16:52 ,N:\!!! SV\El Señor de los cielos 8 Capt-5 {23-01-2023}.mp4,,,,,
,El Señor de los cielos 8 Capt-6 {24-01-2023}.mp4,217MB,06:17:09 ,N:\!!! SV\El Señor de los cielos 8 Capt-6 {24-01-2023}.mp4,,,,,
,El Señor de los cielos 8 Capt-4 {20-01-2023}.mp4,181MB,06:17:30 ,N:\!!! SV\El Señor de los cielos 8 Capt-4 {20-01-2023}.mp4,,,,,
,Overdose (2022).jpg,18KB,06:17:38 ,N:\!!! SV\Overdose (2022)\Overdose (2022).jpg,,,,,
LOAN (M:),,Memoria 16 GB,18:09,1.5 GB,5 ficheros,0 ficheros,$13,,""""""
,Nombre de Fichero,Tamaño,Hora de copia,Ruta donde se copió,,,,,
,LOS HIJOS DE PANDORA - CAPITULO 18 - La Novela Cubana.mpg,346MB,06:11:18 ,M:\LOS HIJOS DE PANDORA - CAPITULO 18 - La Novela Cubana.mpg,,,,,
,LOS HIJOS DE PANDORA - CAPITULO 19 - La Novela Cubana.mpg,341MB,06:11:36 ,M:\LOS HIJOS DE PANDORA - CAPITULO 19 - La Novela Cubana.mpg,,,,,
,Los Hijos de Pandora - Cap 17.mpg,330MB,06:10:41 ,M:\Los Hijos de Pandora - Cap 17.mpg,,,,,
,Los Hijos de Pandora - Cap 15.mpg,316MB,06:10:08 ,M:\Los Hijos de Pandora - Cap 15.mpg,,,,,
,Los Hijos de Pandora - Cap 16.mpg,296MB,06:10:26 ,M:\Los Hijos de Pandora - Cap 16.mpg,,,,,
OSMAY (I:),,Memoria 8 GB,18:05,1.1 GB,4 ficheros,18 ficheros,$10,,""""""
,Nombre de Fichero,Tamaño,Hora de copia,Ruta donde se copió,,,,,
,028 - Conflictos de Familia (Kizlarim Icin) (Turca) ESP.mpg,292MB,06:13:29 ,I:\028 - Conflictos de Familia (Kizlarim Icin) (Turca) ESP.mpg,,,,,
,029 - Conflictos de Familia (Kizlarim Icin) (Turca) ESP.mpg,288MB,06:14:46 ,I:\029 - Conflictos de Familia (Kizlarim Icin) (Turca) ESP.mpg,,,,,
,027 - Conflictos de Familia (Kizlarim Icin) (Turca) ESP.mpg,279MB,06:12:16 ,I:\027 - Conflictos de Familia (Kizlarim Icin) (Turca) ESP.mpg,,,,,
,026 - Conflictos de Familia (Kizlarim Icin) (Turca) ESP.mpg,273MB,06:11:28 ,I:\026 - Conflictos de Familia (Kizlarim Icin) (Turca) ESP.mpg,,,,,
KINGSTON (E:),,Memoria 8 GB,18:01,6.9 GB,9 ficheros,0 ficheros,$36,,""""""
,Nombre de Fichero,Tamaño,Hora de copia,Ruta donde se copió,,,,,
,Squid Game S01E01.mkv,1.0GB,06:04:14 ,E:\Squid Game (El Juego del Calamar) (Round 6) (Temporada 1) [09 Cap.] [720p] [Dual Audio] FDT\Squid Game S01E01.mkv,,,,,
,Squid Game S01E06.mkv,958MB,06:31:13 ,E:\Squid Game (El Juego del Calamar) (Round 6) (Temporada 1) [09 Cap.] [720p] [Dual Audio] FDT\Squid Game S01E06.mkv,,,,,
,Squid Game S01E04.mkv,906MB,06:22:17 ,E:\Squid Game (El Juego del Calamar) (Round 6) (Temporada 1) [09 Cap.] [720p] [Dual Audio] FDT\Squid Game S01E04.mkv,,,,,
,Squid Game S01E02.mkv,882MB,06:10:58 ,E:\Squid Game (El Juego del Calamar) (Round 6) (Temporada 1) [09 Cap.] [720p] [Dual Audio] FDT\Squid Game S01E02.mkv,,,,,
,Squid Game S01E03.mkv,877MB,06:17:01 ,E:\Squid Game (El Juego del Calamar) (Round 6) (Temporada 1) [09 Cap.] [720p] [Dual Audio] FDT\Squid Game S01E03.mkv,,,,,
,Squid Game S01E09.mkv,729MB,06:43:29 ,E:\Squid Game (El Juego del Calamar) (Round 6) (Temporada 1) [09 Cap.] [720p] [Dual Audio] FDT\Squid Game S01E09.mkv,,,,,
