,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Viernes 1 de Abril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,   38  Dispositivos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,   337.4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,   917 ficheros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,   $5334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nombre de Dispositivo,,Tipo,Hora de inserci�n,Tama�o Total copiado,Total de ficheros copiados,Ficheros borrados,Pago,Cobr�,Comentario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCL Alcatel 1,Celular,18:38,3.2 GB,5 ficheros,0 ficheros,$10,,""""""
,Nombre de Fichero,Tama�o,Hora de copia,Ruta donde se copi�,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dora Y Sus Amigos En La Ciudad {30-03-2022}.mpg,189MB,06:14:23 p.m.,S:\Dora Y Sus Amigos En La Ciudad {30-03-2022}.mpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bob Esponja {28-03-2022}.mpg,106MB,06:14:53 p.m.,S:\Bob Esponja {28-03-2022}.mpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bob Esponja {29-03-2022}.mpg,104MB,06:15:00 p.m.,S:\Bob Esponja {29-03-2022}.mpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(O,Memoria 16 GB,18:08,14.0 GB,55 ficheros,29 ficheros,$83,,""""""
,Nombre de Fichero,Tama�o,Hora de copia,Ruta donde se copi�,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"024 - Ada Masali, El Cuento de la Isla (Turca) ESP.mp4",1015MB,06:14:12 p.m.,"O:\Ada Masali, El Cuento de la Isla (Turca)\024 - Ada Masali, El Cuento de la Isla (Turca) ESP.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"056 - Ada Masali, El Cuento de la Isla (Turca) ESP.mp4",993MB,06:21:59 p.m.,"O:\Ada Masali, El Cuento de la Isla (Turca)\056 - Ada Masali, El Cuento de la Isla (Turca) ESP.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"049 - Ada Masali, El Cuento de la Isla (Turca) ESP.mp4",842MB,06:20:14 p.m.,"O:\Ada Masali, El Cuento de la Isla (Turca)\049 - Ada Masali, El Cuento de la Isla (Turca) ESP.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"048 - Ada Masali, El Cuento de la Isla (Turca) ESP.mp4",782MB,06:19:30 p.m.,"O:\Ada Masali, El Cuento de la Isla (Turca)\048 - Ada Masali, El Cuento de la Isla (Turca) ESP.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"019 - Ada Masali, El Cuento de la Isla (Turca) ESP.mp4",663MB,06:12:05 p.m.,"O:\Ada Masali, El Cuento de la Isla (Turca)\019 - Ada Masali, El Cuento de la Isla (Turca) ESP.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"025 - Ada Masali, El Cuento de la Isla (Turca) ESP.mp4",596MB,06:15:11 p.m.,"O:\Ada Masali, El Cuento de la Isla (Turca)\025 - Ada Masali, El Cuento de la Isla (Turca) ESP.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"018 - Ada Masali, El Cuento de la Isla (Turca) ESP.mp4",594MB,06:11:32 p.m.,"O:\Ada Masali, El Cuento de la Isla (Turca)\018 - Ada Masali, El Cuento de la Isla (Turca) ESP.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"022 - Ada Masali, El Cuento de la Isla (Turca) ESP.mp4",593MB,06:13:25 p.m.,"O:\Ada Masali, El Cuento de la Isla (Turca)\022 - Ada Masali, El Cuento de la Isla (Turca) ESP.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"037 - Ada Masali, El Cuento de la Isla (Turca) ESP.mp4",562MB,06:17:28 p.m.,"O:\Ada Masali, El Cuento de la Isla (Turca)\037 - Ada Masali, El Cuento de la Isla (Turca) ESP.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"020 - Ada Masali, El Cuento de la Isla (Turca) ESP.mp4",562MB,06:12:43 p.m.,"O:\Ada Masali, El Cuento de la Isla (Turca)\020 - Ada Masali, El Cuento de la Isla (Turca) ESP.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"064 - Ada Masali, El Cuento de la Isla (Turca) ESP.mp4",213MB,06:24:20 p.m.,"O:\Ada Masali, El Cuento de la Isla (Turca)\064 - Ada Masali, El Cuento de la Isla (Turca) ESP.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
